food,description
연두부김치국,김치 연두부 물 디포리 멸치 다시마
삶은계란샌드위치,삶은 계란 당근 파슬리 식빵
돼지고기콩비지찌개,노란콩 돼지고기 목살 김치
소세지야채비빔우동,무 오이 당근 적양배추 홍파프리카 노랑파프리카 미나리 오리소세지 우동면 고추장 간장 다진마늘 매실액기스 식초 꿀 참기름 검은깨
초코호떡,제빵용 쌀가루 전분 소금 유기농 설탕 달걀 우유 인스턴트 드라이이스트 코코아가루 유기농 설탕 호두 전분 계피가루 다크 거버 초콜릿 호두 곶감
가오리콩나물찜,가오리 콩나물 미나리 대파 후추 참기름 멸치육수
참치유부주머니,캔참치 부추 양파 당근 대파 두부 계란
꼬시래기초고추장무침,꼬시래기 양파 당근 약간
애호박깻잎부침개,애호박 당근 깻잎 양파 계란 물 부침가루 찹쌀가루 식용유 적당량
KFC비스켓,박력분 베이킹파우더 베이킹소다 차가운 계란 차가운 우유 팬에 발라줄 말랑한 버터 조금
떡볶음,햄 떡국떡 청피망 홍피망 당근 양배추 통참깨 식용유 적당량
콩나물장조림,콩나물
김치볶음삼각주먹밥,밥 캔참치 김치 신김치 오이 당근 단무지 김밥용
옥돔레몬구이,옥돔 레몬 슬라이스 무 슬라이스 파흰부분 당근
도가니탕,한우 도가니 물
고구마치즈롤돈까스,돼지고기 안심 돈까스용 고구마 찐 것 청주 튀김가루 빵가루 카레가루 파슬리 달걀 모짜렐라 치즈 튀김용식용유
동태만두전골,동태 만두 두부 미더덕 대파 쑥갓 부추 양파
오향족발,암돼지족발 짜사이
오향장육,아롱사태 양배추 마늘 고추 새우 레몬식초 물 간장 물엿 파 양파 마늘 생강 팔각
딸기팬케이크,우리밀가루 중력분 베이킹파우더 계란 우유 딸기 카놀라유
초콜렛머핀,유기농 백밀 리코타 치즈 계란 우유 바닐라 익스트렉 베이킹 파우더 발로나 코코아가루 초코칩 다크청크
열무김치조림,열무김치
참치버섯완자전,캔참치 만가닥버섯 약간 청 피망 약간 홍 피망 약간 양파 약간 밀가루 달걀
오뎅콩나물잡채,콩나물 당근 적당량 오뎅 적당량
해물만두,오징어 새우 부추 두부 표고버섯 달걀 만두피
검은콩자반,검은콩
황태죽,찹쌀 황태살
씨리얼초코바,씨리얼
크림스파게티,스파게티면 밀가루 우유 마늘 양파 굴
카레떡볶이,가래떡 사각어묵 구멍어묵 봉어묵 양파 대파 당근
쇠고기볶음밥,찬밥 다진쇠고기 다진마늘 다진파 오일 간장 굴소스 미림 참기름 설탕 물엿 소금 약간 간장 참기름 소금 약간 후추 약간
초코버터케익,박력분 코코아가루
닭날개구이,닭날개 타임 로즈마리 파슬리
고구마버터케익,고구마 큰것 계란 박력분 버터 우유 설탕 꿀 올리고당 소금 바닐라에센스 베이킹파우더
고구마깍두기,대추 밤 실백 물 설탕 식초 소금 고춧가루 액젓 새우젓 다진 마늘 양파즙
누룽지낙지볶음,밥 낙지 대파 양파 청양고추 당근 조금 양배추 조금
쇠간볶음,소간 숙주나물 부추
만가닥버섯볶음,만가닥버섯 홍피망 청피망
자반고등어튀김,자반고등어 통마늘 전분가루 식용유 적당량
참깨비스킷,오일 우유 박력분 코코넛파우더 깨 설탕
양송이야채볶음,양송이버섯 양파 파프리카 마늘 콩껍질 약간
해계탕,문어 해삼 전복 새우 야채 찹쌀 닭고기
참치야채토스트,식빵 버터 양배추 당근 양파 캔참치 건포도 치즈 딸기잼 계란 소금 우유 갈아둔호두
야채볶음밥그라탕,맛살 청피망 홍피망 호박 양파 밥 피자치즈 올리브오일 파슬리가루
돼지목살두부김치찌개,김치 양파 청고추 홍고추 두부 돼지고기 목살 대파 다시마육수 다진마늘
유부김치주머니찌개,소고기 유부 김치 당면 약간 두부 부추 약간 양파 느타리 버섯 약간 표고버섯 쑥갓 약간 청고추 홍고추 잔파 멸치 다시마 말린버섯 무 양파
닭가슴살깐풍기,닭가슴살 계란흰자 녹말가루 다진양파 청고추 홍고추 대파 간장 청주 미림 설탕 식초
케일쌈밥,다진쇠고기 케일 된장 고추장 양파잘게다져서 청양고추다져서 통깨 약간 참기름 약간
초코크래커,박력분 제과용코코아가루 사용
단호박찜케이크,제과제빵용 쌀가루 단호박 가루 달걀 우유 베이킹파우더 포도씨유 고명을올릴당절임콩
오리훈제구이,훈제오리 깻잎 적당량 표고버섯 큰 것 새송이버섯 큰 것 애느타리버섯 깻잎 오이 적양배추 적당량 양배추 등의 채소 적당량 고추장 설탕 식초 물엿 맛술 참기름 다진 마늘 통깨 후춧가루 약간
쇠고기콩나물탕,콩나물 두부 대파 쇠고기육수 쇠고기 치마 양지살 다시마 짜리 통후추 물
밀크쿠키,버터 슈가파우더 달걀 노른자 박력분 탈지분유 바닐라익스트렉 가능
홍합스파게티,스파게티면 홍합 다진 양파 페퍼론치노나 마른고추 마늘 올리브오일
로쉐초콜릿,칼아몬드 크레페 요구르크 초콜릿 코코넛후레이크
가자미튀김,가자미 튀김가루 약간
강된장찌개,멸치다시육수 두부 양파 감자작은거 호박 다진쇠고기 고추 대파 무우
닭봉,닭봉 계란 전분가루 카레가루 칠리파우더 미림 소금 약간 후추 약간
매생이굴죽,매생이 굴 현미 백미
떡튀김,냉동 감자튀김 식용유 적당량 떡볶이떡 꼬치
밥새우다시마죽,다시마 불린 쌀 시금치 감자 밥새우
소고기버섯국수,한우국거리용 느타리버섯 팽이버섯 대파 소면
치즈샌드위치,식빵 치즈
부추돼지고기볶음,돼지고기 부추 팽이버섯
버터볶음,새송이 해삼 전복 관자 가리비새우
쥐포까스,쥐포 계란 빵가루 모짜렐라치즈 파슬리가루 약간 식용유 적당량
아스파라거스표고버섯볶음,아스파라거스 불린표고 편마늘
생크림식빵,강력분 탈지분유 드라이이스트 물
아스파라거스어묵볶음,어묵 아스파라거스 고추 마늘
단호박죽,단호박 물 통팥 찹쌀가루 찹쌀가루 뜨거운물
새우파래전,파래 새우살 밀가루 계란 물
호박새우젓볶음,조선호박 단무지 새우젓 고춧가루 들기름 다진 마늘 물 소금 약간 고춧가루 설탕 다진마늘 참기름 약간 쪽파
마가렛쿠키,박력분 아몬드가루 베이킹파우더 계란 럼주 계란물
메이플호두빵,강력분 이스트 탈지분유 달걀 물 버터 메이플시럽 다진호두 계란노른자 물
햄덮밥,밥 햄 피망 양파 당근 표고버섯 팽이버섯 오일 물녹말 마늘
키쉬,박력분 버터 슈가파우더 계란 브로콜리 양파 햄 버섯 적당량 생크림 우유 달걀 피자치즈 적당량
체리타르트,박력분 버터 슈가파우더 계란 다크체리 적당량 버터 슈가파우더 아몬드가루 달걀 럼주
아몬드파이,박력분 버터 슈가파우더 계란 버터 슈가파우더 아몬드가루 달걀 럼주 버터 물엿 생크림 아몬드슬라이스
가래떡탕수,가래떡 길이정도 당근 약간 양파 파프리카 물 고추 다진마늘
치킨핑거또띠아말이,치킨핑거 양상추 슬라이스한 토마토 채썬 오이 또띠아
참치연근전,참치 연근 양파 청피망 홍피망 두부 밀가루 적당량 계란 전분 연근 청피망 홍피망 밀가루 적당량 계란 후추 약간 물 적당량 식초 약간
배추막김치,배추 쪽파 소금 약간 물 찹쌀가루 소금 물
어묵떡꼬치,두툼한 사각어묵 떡볶이떡 꼬치용 나무
치즈타르트,밀가루박력분 코코아가루 슈가파우더 버터 우유 달걀 크림치즈 설탕 달걀 우유 전분 커피액기스
사과쿠키,사과 중간크기 박력분 계란
두부비빔밥,돼지고기 두부 김치 밥
버섯리조또,쌀 표고버섯 큰것 새송이 버섯 큰것 양파
미니햄버거,쇠고기 간 것 양파 모닝 빵 치커리 상추 체다 슬라이스 치즈 청주 다진 마늘 다진 파 설탕 간장 소금 약간 생강즙 생강가루 약간 후춧가루 약간 빵가루 달걀 스테이크 소스 케챱 마요네즈 허니머스타드
양송이버섯구이,양송이버섯 큰 것 피자치즈 약간 캔옥수수 청피망 홍피망 각종채소 다진쇠고기 체다슬라이스 치즈 파슬리가루
돼지등뼈감자탕,돼지 등뼈 배추 우거지 크게 감자 대파 양파 통마늘 생강 깻잎 팽이버섯 들깨가루
허브닭가슴살샐러드,닭가슴살 양상추 방울토마토 채소 로즈마리 허브
카스테라경단,찹쌀가루 뜨거운물
골뱅이소면무침,골뱅이 소면 참기름 코팅용 통깨 약간 미나리 로메인 파채 적채 당근 오징어채 오이 꽈리고추 청고추 참기름
생크림양송이스프,양송이 버섯 양파
호두스콘,박력분 계란 우유 호두
돼지고기마늘종말이조림,돼지 불고깃감 마늘종 전분 약간
돌나물묵무침,돌나물 동부묵 홍고추 약간 소금 약간 참기름 약간
배추국,배추잎 정도 두부 호박 무 약간
바지락조개국,바지락 두부 쏭쏭썬대파
미역줄거리볶음,미역줄거리 당근 양파
된장우엉구이,우엉
왕새우튀김,왕새우튀김제품 식용유 적당량 적양배추 깻잎 무 쌈야채
콩나물밥양념장,불린쌀 콩나물 김자반
밥새우김밥,밥새우 밥 생김 참기름 어묵 돼지고기 단무지
햄김치볶음밥,쏭쏭썬 김치 밥 햄 양파 계란 피자치즈
오리월남쌈,오리훈제 라이스페이퍼 파프리카 크리미 당근 새싹채소 파인애플 물
베이컨숙주볶음,숙주 대파 베이컨 양파 다진 마늘
얼그레이초콜렛,다크커버춰 초콜렛 생크림 무염버터 물엿 얼그레이 티백 코코아가루
딸기초코롤케이크,박력분 통통한 딸기 딸기 다크초콜릿 화이트 초콜릿 적당히 달걀 노른자 설탕 물엿 발로나코코아가루 옥수수전분 버터 생크림 설탕 생크림 설탕 생크림 설탕
시래기된장국,시래기
햄김치까나페,통조림햄 송송 썬 김치 후리카케
프렌치토스트,식빵 계란 우유
동래파전,쪽파 부침가루 쌀가루 물 오징어 새우 홍합 계란
딸기잼치즈스콘,박력분 흑설탕 백설탕 버터 우유 소금 슬라이스치즈 딸기잼
찹쌀옹심이미역국,마른미역 쇠고기 찹쌀가루
쥐포아몬드고추장볶음,꼬마 쥐포 아몬드 통마늘
물만두,밀가루 물 소금 만두용 뒷다리 배추속대 실파 계란 작은것 향신즙 소금 참기름 다진 마늘 후춧가루 약간
피넛버터쿠키,피넛버터 박력분
베이컨치즈토스트,식빵 베이컨 슬라이스치즈
비프스튜,소고기 양파 감자 양파 샐러리 그린빈스 약간
미트볼조림,쇠고기 양파 중간크기 당근 약간 대파 홍고추 약간 녹말가루 적당량 땅콩 달걀 노른자 청주 다진 마늘 소금 후춧가루 약간 케첩 소스 케첩 돈가스소스 스테이크소스 간장 물엿 설탕 물 다진마늘
물미역무침,물미역 오이
찹쌀꽈배기,강력분 찹쌀가루
돼지고기사태장조림,사태 건고추 통마늘 생강 통후추 무 배 양파 생강즙 후춧가루 약간 월계수잎 없으면
안심돈까스,돼지고기 안심 빵가루 튀김가루 갈은사과 돈가스소스 케찹 우스타소스 마요네즈 설탕 후추 계란 다진마늘 다진파 소금 후추
바나나계란구이,브로콜리 바나나
야채참치죽,불린쌀 참치 감자 양파 당근 브로콜리
시금치참깨무침,시금치
묵은지돼지고기찜,돼지고기 잘익은 김치
너트초콜릿,다크초콜릿 호두 건포도 아몬드 땅콩 호박씨 크린베리
소고기무조림,소고기 무
피넛버터오트밀머핀,계란 중력분 오트밀 초코칩
마늘밥,비엔나소시지 대파 당근 마늘 밥
해물쌈장,우렁살 새우살 바지락살 청양고추 홍고추 애호박 양파 마늘 표고버섯 느타리버섯 팽이버섯
소보로빵,강력분 박력분 소금 이스트 설탕 올리브유 계란 생크림 우유 버터 설탕 땅콩버터 물엿 바닐라에센스 계란노른자 중력분 베이킹파우더 베이킹소다
두부도넛츠,핫케이크가루 두부 계란 우유
초콜릿파운드케이크,무염버터 유기농 설탕 꿀 노른자 달걀 다크 커버춰 초콜릿 유기농 박력분 코코아 우유 호두 생크림 다크 커버춰 초콜릿
초코로미아스,버터 슈가파우더 흰자 박력분 코코아파우더 아몬드 올리고당 설탕 버터
카라멜비스코티,아몬드가루 카라멜크림 달걀 설탕 해바라기씨
고기호박전,애호박 다진소고기 밀가루 약간 계란 소금 약간 간장 다진마늘 다진파 참기름 후추가루 약간
모시조개떡국,모시조개 떡국떡 생수 건새우 무 대파뿌리 소주
햄치즈롤빵,강력분 햄 치즈
냉이샌드위치,걀 튀김가루 물 조금 튀김가루 냉이 식빵
파래자반,마른파래 세멸지리 밥새우 해바라기유
피쉬버거,햄버거빵 생선까스 상추 양상추 토마토 슬라이스 치즈 양파슬라이스 마요네즈 다진 오이피클 설탕 흰후추 소금 레몬즙 생크림 마요네즈 다진오이피클 오이피클국물 사과식초 흰후추 소금 설탕 다진양파
헤이즐넛비스코티,박력분 달걀 설탕 식물성 오일 꿀 아몬드가루 계피가루 베이킹파우더 통헤이즐넛 적당량 통아몬드 적당량 초코칩 적당량
떡피자,맛살 햄 떡국떡 토마토소스 적당히 피망 피자치즈 적당히 오일또는식용유
쌀호떡,강력 쌀가루 전분 설탕 소금 드라이 이스트 흑설탕 전분 계핏가루 소금 약간 다진 땅콩
파프리카잡채,당면 잡채용 소고기 조금 당근 파프리카 색깔별로 피망
두부두반장조림,두부
김치볶음,신 김치 양
카라멜,생크림 콩가루 우유 버터 다진피칸 적당량
인절미초콜렛,생크림 콩가루 화이트 초콜릿
된장비스코티,달걀 된장 오일 박력분 베이킹파우더 베이킹소다 검은깨 설탕
땅콩조림,땅콩
참치김치파스타,스파게티면 김치 양 양파 고추기름 고춧가루 참치 간장 참기름
앙금빵,중력분 계란 호두
떡만두국,소고기 가래떡 만두 계란 대파
하트초콜릿머핀,계란 박력분 쿠키
감자피자그라탕,감자 큰것 남은전 노란파프리카 초록파프리카 빨강파프리카 주황파프리카 양파 밀가루
배치번스,강력분 통밀가루 이스트 물
초코빵,강력분 코코아가루 설탕 소금 계란 물 버터 호두 초코칩
돼지목살수육,돼지 목살 저수분냄비
카스피해유산균,카스피해유산균종균가루
해물떡찜,떡 느타리버섯 깻잎 양파 대파 빨강 파프리카 노랑 파르리카 홍합 꽃게 미더덕 오징어 대하 대합 가리비 삶은 계란
삼겹살김밥,김 밥 삼겹살 슬라이스 싹채소 로메인 상추
귤쨈,껍질 벗긴 귤
김치국밥,김치 콩나물 대파 찬밥
로제파스타,스파게티 푸실리 올리브 생크림 우유 파마산치즈 올리브유 물 소금 케찹페이스트 마늘 양파 베트남 고추 소금 후추 약간 파슬리 가루 약간
황태무침,황태포
돼지껍데기볶음,돼지껍데기 먹을만큼 청량고추 양파 대파 다진마늘
양념만두,만두 떡국떡 아몬드슬라이스 약간 깨 약간
옥수수치즈구이,캔옥수수 모짜렐라치즈 슬라이스치즈 버터 피망 적파프리카
갈비살굴소스야채볶음,갈비살 호박 양파 대파 피망 적파프리카 당근 브로콜리 마늘 소금 후추 청주 참기름 굴소스 소금 후추 참기름 통깨
닭야채볶음,닭날개 닭봉 당근 청고추 양파 대파 양배추 통깨 약간 참기름 약간
뢰스티샌드위치,식빵 감자 양파 달걀 슬라이스햄 슬라이스치즈 또는 피자치즈
굴떡만두국,떡 적당량 표고버섯 굴 조금 만두 조금 계란 다시마 버섯 멸치 소금 간장
고구마스콘,박력분 생크림 달걀 찐고구마 베이킹파우더 건포도 또는 건블루베리 또는 크린베리 등 럼주 약간
봄동겉절이,봄동
바나나초코쿠키케이크,오일 박력 코코아 오일 요거트 바나나 박력분 베이킹파우더 베이킹소다 설탕 설탕
고추장비스코티,식물성 오일 달걀 베이킹소다 베이킹파우더 박력분 설탕 고추장
들깨마들렌,전분 박력 들깨 베이킹파우더 오일 두유 꿀 식초
단감허니케익,박력분 아몬드가루 베이킹파우더 소금 식물성오일 두유 올리고당 꿀 물
굴배추겉절이,배추 먹을만큼 부추 적당량 굴 적당량
고구마옥수수탕수,찐 고구마 버터 파마산 치즈 가루 옥수수 계란 밀가루 빵가루 약간 파슬리가루 조금 물 설탕 간장 식초 옥수수 약간 녹말 물
카레밥동그랑땡,밥 양파 당근 조금 부추 조금 버섯 조금 참치 정도 새우밥 계란
바나나쿠키,바나나 후 콩가루 박력분 설탕 포도씨유
찹쌀호박전,늙은호박 찹쌀가루 부침가루 소금 약간 포도씨유 적당량 꿀이나올리고당
아귀탕,절단아귀 무 굵은 콩나물 미나리 어슷 대파 홍고추 물 다시마 양파 무 대파 통마늘 청양고추
잡채치즈군만두,만두피 적당량 잡채 적당량 모짜렐라치즈 적당량 달걀 포도씨유 적당량 간장 맛술 식초 올리고당 고추가루
오징어링볶음,오징어링 양파 대파 청양고추
새우파프리카월남쌈,냉동새우 적양파 빨강파프리카 노랑파프리카 초록피망 크래미 라이스페이퍼
통밀쿠키,유기농통밀 박력분 달걀 버터 황설탕 베이킹파우더 바닐라오일 소금
녹차머핀,계란 설탕 포도씨유 우유 박력분 녹차 크림치즈 삶은팥 적당량
늙은호박죽,늙은호박 찹쌀 물 찹쌀 뜨거운물 호박씨 약간
핫초코,우유 다크초콜릿 시나몬가루 약간
시금치식빵,시금치즙 강력쌀가루 인스턴드라이이스트 달걀 포도씨유
단호박닭발볶음,닭발 밀가루 홍차티백 양파 깻잎 청양고추 단호박
우렁강된장,우렁 표고버섯 양파 호박 홍고추 청고추 쌀뜨물 대파 맛술 참기름 후추 약간 집된장 고추장 고추가루 마요네즈 다진마늘 참기름
소고기떡국,소고기 물 쌀떡국 가래떡 달걀 대파 호박 포도씨유 적당량
체리레어치즈케이크,초코제누와즈 적당량 판젤라틴 크림치즈 플레인요플레 생크림 체리 적당량
치즈롤쿠키,박력분 베이킹파우더 슈가파우더 버터 노른자 박력분 베이킹파우더 황치즈분말 슈가파우더 버터 전란
닭봉간장치킨,닭봉 청주
초콜릿미니타르트,중력분 버터 달걀노른자 소금 우유 밀크 커버처 초콜릿 생크림 건과일 피스타치오 헤이즐넛 캐슈너트 아몬드 다진 건과일 등등 적당량
블루베리와플,박력쌀가루 달걀 포도씨유 바닐라오일 우유 베이킹파우더 생블루베리 초코시럽 약간 아이스크림 적당량
알리오올리오파스타,페투치네 물 소금 마늘 올리브유
아보카도미니머핀,박력분 버터 설탕 물엿 바닐라에센스 적당량 마차 베이킹파우더 아보카도 생크림
고구마튀김,고구마 밀가루 전분가루 물 올리브유
후르츠파르페,바나나 키위 딸기 파인애플 과일푸딩 체리 생크림 조금
돼지고기호박볶음,호박오가리 돼지고기 대파 육수 후추 약간 식용유 적당량 통깨 약간 진간장 국간장 들깨가루 참기름 청주 마늘 진간장 참기름 청주 마늘 후추 약간
채소피클,작은 적채 미니파프리카 청양고추 무 오이 양파
모듬전전골,모듬전 배추김치 약간 국거리한우
나가사키짬뽕,모듬해물 숙주 양배추 양파 베이컨 짬뽕면 청양고추 청양건고추
너츠초코바,헤이즐넛 통아몬드 호두 건포도
가래떡호박맛탕,늙은호박 가래떡 포도씨유 적당량 잣가루 약간 검정깨 약간
김치닭볶음,김치 닭 월계수잎 당근 양파 대파 들기름 물 실고추 고추장 고추가루 다진마늘 맛술 소주 올리고당 쌀올리고당 후추 약간 생강가루 약간
코다리강정,코다리 튀김가루
배추달걀말이,달걀 데친 배추잎 김밥용김 데친 시금치 약간 기름 적당량
포테이토샌드위치,감자 식빵 양배추 적채 적당량 상추 슬라이스치즈 기름 적당량
통밀모닝롤,강력분 통밀가루 설탕 꿀 소금 이스트 물 올리브유 노른자 우유
오픈샌드위치,통밀빵 버터 슬라이스치즈 사이즈에 따라 토마토 로메인 적양파 올리브 체리
어묵김치찌개,신김치 물 어묵 다시마 양파 쑥갓 조금 홍고추 대파
돼지갈비강정,돼지갈비
생선조림,고등어 감자 무 대파 청양고추 홍고추
요거트케이크,박력 달걀 설탕 플레인 요구르트 전분
두부참치볼양념조림,두부 참치캔 양파 조금 당근 조금 브로콜리 조금 달걀 밀가루 조금 소금 후추 약간 식용유 적당량 다진마늘 참깨 약간
소보로트위스트단팥빵,강력분 박력분 이스트 설탕 소금 버터 달걀 물 중력분 옥수수가루 베이킹파우더 설탕 물엿 버터 땅콩버터 노른자 고운 팥앙금
쑥카스테라,중력분 쑥가루 계란
소시지빵,강력분 피망 적당량 당근 적당량 양파 적당량 옥수수콘 적당량 파프리카 적당량
올리브오일파스타,마늘 베이컨 스파게티면 적당량
소시지롤빵,강력분 카레가루 이스트 설탕 소금 버터 달걀 우유 프랑크소시지 파르마산 치즈가루 빵가루 적당량
후르츠파운드케익,설탕 버터 소금 계란 박력분 베이킹파우더 바닐라오일 소량 우유 후르츠 적당량
감만주,박력분 녹차가루 연유 달걀노른자 백앙금 달걀물 베이킹파우더 전분 적당량
복숭아만주,박력분 백련초가루 연유 달걀노른자 백앙금 달걀물 베이킹파우더 전분 적당량
시금치베이컨주먹밥,데친 시금치 베이컨
초코렛브라우니,박력분 버터 흑설탕 계란 초코렛 베이킹파우더
돌나물무침,돗나물 오이 양파
햄토마토파스타,스파게티면 리챔 청피망 홍피망 양파
낙지두반장볶음,낙지 양파 대파 오이고추
오미자,오미자 배 통계피 진피 감초 생강
메추리알조림,메추리 닭안심 물 다시마
소고기불고기,불고기감 양파 매실액 쪽파 느타리 버섯 적당량 채썬 양파
바지락조개탕,바지락 조개 파 조금
감자볼,감자큰거 당근 빵가루 파슬리가루
닭새우볶음,닭가슴살 새우 대추 양파
두부감자조림,두부 감자 유지류 약간
스테이크피자,서울식품 냉동피자 시트 등심스테이크용 시금치 귤 파마산치즈가루 약간 모짜렐라치즈
고추장참치찌개,감자 두부 참치 양파 청양고추
팥빵,강력분 약콩
카레잡채덮밥,당근 감자 양파 잡채 포도씨유 적당량
햄치즈크로켓,고구마 햄 치즈 밀가루 계란 빵가루
검은깨초콜릿,화이트초콜릿 생크림 검은깨가루
간장주먹밥구이,동태전 밥 김 약간
냉이떡국,떡국떡 냉이 표고버섯 물 국멸치 다시마 대파 포도씨유 약간
소고기파국,양지 대파 물 통마늘 대파뿌리 또는 대파
냉이고추장무침,냉이 크게 소금
김치콩나물떡국,멸치육수 떡 김치 콩나물 양파 새송이버섯 청양고추 파 마늘
오징어잡채,솔방울 오징어 양파채 당근채 대파채 느타리버섯 당면 깻잎채
섞박지,무 절임용 소금 절임용 설탕 쪽파 쪽파 생강 마늘 양파 물 생수 소금 설탕 밀가루풀 양파 생강 마늘간것 까나리 사이다 약간 고춧가루 풀 새우젓 고춧가루 약간
새우튀김샐러드,튀김용 새우 튀김가루 계란 물 약간 까나리액젓 식초 설탕 레몬즙 청고추 홍고추 흑임자 약간
해물영양밥,불린쌀 물 당근 약간 아스파라거스 베이컨 소금 약간 참기름 날치알 간장 청고추 홍고추 대파 깨소금 약간 참기름
스폰지케익,박력분 달걀 좀 많이 넣었어요 설탕 우유 맞춰서 조금씩 알아서 넣기 버터 바닐라에센스 베이킹파우더
닭가슴살버터구이,닭가슴살 플레인요구르트
양배추스프,양배추 양파 육수 비엔나 칼국수 베이컨 달걀
진저쿠키,계란 물 중력분 생강가루 베이킹소다 계피가루 여분의 설탕 버터 설탕 물엿 소금
토마토케첩,토마토퓨레
데리야끼고기말이,돼지고기다짐육 양파 당근 버섯 파프리카 부추 마늘 참깨 흑임자 후추
참치너겟,참치캔 양파 중 감자 중 당근 조금 계란
애플쿠켄,박력쌀가루 버터 설탕 계란 소금 베이킹파우더 바닐라오일 적당량 사과 시판생크림요쿠르트 계란 설탕 계피가루
김치명란죽,신김치 밥
자장떡볶이,떡볶이떡 사각어묵 양파 어슷썬 대파 물
깻잎게살치즈전,깻잎 크래미 슬라이스치즈 달걀 부침가루 기름 적당량
깻잎게살미니주먹밥,깻잎 크래미 당근 호박 밥
콩나물야채볶음,콩나물 느타리버섯 빨강파프리카 피망 노랑파프리카 양파 포도씨유 검정깨 약간
허니버터식빵러스크,식빵
야채치즈롤빵,강력쌀가루 박력쌀가루 인스턴드라이이스트 버터 달걀 우유 물 야채 꼬치전 오징어 전 다진양파 모짤렐라치즈
몬테크리스토샌드위치,식빵 슈가파우더 슬라이스 치즈 우유 흰후추 소금 약간 버터 올리브유 마요네즈 허니머스타드소스
모카비스코티,박력분 아몬드가루 계란 설탕 포도씨유 꿀 베이킹파우더 통아몬드 초코칩 크린베리 인스턴트 커피
콩나물비빔밥,콩나물 적당량 갈은 소고기 적당량 양파채 조금 잔파 조금
꽃게튀김,절단꽃게 청양고추 마른 홍고추 대파 다진 마늘 전분가루 적당량 튀김기름 적당량 고추기름 참기름 후추 약간
카레볶음우동,우동사리면 오징어 당근 양파 작은것 마늘 물 육수 치즈 후추 약간 청주
바나나초코머핀,버터 설탕 박력분 코코아 가루 베이킹 파우더 달걀 우유 바나나 토핑용 바나나
호두초콜릿칩쿠키,무염버터 박력분 베이킹소다 베이킹파우더 달걀 바닐라 오일 호두분태 초콜릿 칩
흑임자팬케이크,밀가루 흑임자
고추잡채호빵,중력분 베이킹파우더 이스트 설탕 소금 오일 우유 생수 돼지목살 파프리카 큰거 표고버섯 대파 고추기름 간마늘 간생강 약간 간장 굴소스 참기름 통깨 약간
콩나물쇠고기덮밥,채썬양파 대파 쇠고기 적당량 콩나물 양송이 버섯
에그미트로프,다짐육 당근 팽이버섯 양파 식빵 테두리 계란 떡국떡 타임가루 후추 약간 마늘소스 굴소스 간장 케찹 올리고당 레몬즙
볶음밥계란말이,당근 파프리카 오이 햄 양파 밥
두부달걀햄버그,두부 달걀 밀가루 머스터드소스 케첩 마요네즈
대게손질,대게
양송이버섯달걀장조림,달걀 양송이버섯 통마늘 당근
양배추깻잎피클,양배추 깻잎
매생이달걀말이,달걀 기름 약간 매생이
노오븐쿠키,박력분 박력분 베이킹파우더 통깨
게살샌드위치,식빵 크리미 오이 양파
무초절임,무 사과 양파 다시마 대파 흰부분
생태탕,생태 중간거
차돌박이샌드위치,호밀빵 차돌박이 허브맛솔트 약간 양파 링으로 썰어서 약간 샐러드야채 약간
해시브라운,감자 중간크기 방울토마토 계란 베이컨
베이컨샐러리볶음밥,쌀밥 베이컨 양파 샐러리 대파 마늘 계란
오뎅볶이,넙적한 오뎅 생수 다시마 사방 국물멸치 양파 대파
수플레오믈렛,차가운 계란 흰설탕
치즈달걀말이,계란 치즈
오렌지초코케이크,박력분 옥수수전분 달걀 작은거 베이킹파우더 오렌지껍질
크림파스타,마늘 양파 붉은대게살 적당량 날치알 버터 밀가루 생크림 우유 파마산치즈 후추 약간 소금 약간
상추비빔밥,상추 양파 슬라이스 청양고추
그리시니,강력분 박력분 설탕 소금 인스턴트드라이이스트 식물성오일 물 참깨 달걀노른자 물
김치다코야끼,다코야끼믹스 계란 김치송송썰어 약간 슬라이스햄 약간 대파송송썬것 약간 청양고추 가쓰오브시 약간
김치죽,찬밥 김치 송송 썬것 약간 계란노른자 마른김
떡조림,떡볶이떡 마른김 마른고추 다시마 실파
치즈마카로니,마카로니 밀가루 체다치즈
비스킷,피칸 또는 호두 조각 다진 것 밀가루 베이킹 시트 무염버터 황색 고운 가루설탕 더블 크림
미역줄기파프리카피망볶음,미역줄기 파프리카 피망 각 청고추 양파 카놀라유
파프리카버섯잡채,노랑 파프리카 빨강 파프리카 피망 두부 팽이버섯 참타리버섯 새송이 버섯 양파
새우브로콜리계란말이주먹밥,브로콜리 맛살 새우 계란 밥
가지롤,가지 팽이버섯 피망 적파프리카 이쑤시개
호박인절미롤샌드위치,찹쌀가루 호박가루 뜨거운물 설탕 식빵 전분가루 적당량 버터 약간 슈거파우더 호박씨 물이나 달걀흰자 약간 올리고당이나 꿀 약간
바게트달걀토스트,바게트빵 달걀 우유 설탕 생크림 우유
커스터드머핀,우리밀가루 소금 베이킹파우더 중탕으로 녹인 버터 커스터드 분말 건포도와 슬라이스 아몬드 소금 건포도 슬라이스아몬드 베이킹파우더 분말 물
두부샌드,두부 녹차 먹인 앞다리살 채 설어서 청고추 홍고추 카놀라유 전분가루 소금 적당량 간장 매실 엑기스 마늘 다진거 생강 다진거 참기름
요구르트모닝빵,강력분 이스트 꿀 소금 버터 우유 플레인요구르트 사각틀
